NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
171	3.253	18.03	1.636	14.798	0.078	0.988	2000.0
172	3.718	20.912	1.866	16.899	0.079	0.984	7000.0
173	4.463	25.265	2.118	20.034	0.097	0.981	3000.0
174	4.017	22.326	2.188	19.141	0.065	0.981	3000.0
175	3.381	19.222	1.564	14.446	0.077	0.988	3000.0
176	3.95	22.477	1.993	18.618	0.117	0.984	2000.0
177	3.897	21.755	1.959	17.077	0.085	0.985	2000.0
178	3.321	19.126	1.642	14.429	0.081	0.99	3000.0
179	5.033	28.141	2.53	23.939	0.102	0.965	2000.0
180	3.901	21.756	1.834	17.854	0.088	0.977	3000.0
181	3.772	21.188	1.902	16.664	0.081	0.985	4000.0
182	4.217	24.095	2.065	19.68	0.108	0.978	4000.0
183	4.012	22.633	1.889	17.248	0.098	0.985	2000.0
184	4.096	23.281	2.14	18.894	0.079	0.984	2000.0
185	4.927	27.43	2.279	20.694	0.121	0.976	4000.0
186	2.623	14.889	1.316	13.446	0.051	0.987	2000.0
187	4.462	25.305	2.241	22.131	0.094	0.973	2000.0
188	3.675	20.936	1.704	14.918	0.108	0.988	3000.0
189	3.702	20.388	1.874	17.037	0.067	0.982	3000.0
190	3.825	21.63	1.779	17.893	0.116	0.977	13000.0
191	3.185	17.969	1.667	15.492	0.065	0.985	2000.0
192	4.517	25.386	2.4	22.201	0.085	0.976	3000.0
193	4.786	27.229	2.334	21.692	0.122	0.974	2000.0
194	4.854	27.115	2.186	21.486	0.116	0.974	3000.0
195	5.226	29.331	2.491	22.27	0.139	0.978	2000.0
196	2.87	16.234	1.45	12.827	0.09	0.99	2000.0
197	3.589	20.379	1.891	15.707	0.076	0.986	2000.0
198	4.176	23.455	2.047	18.75	0.095	0.981	3000.0
199	4.426	25.489	2.065	18.776	0.104	0.984	4000.0
200	3.783	20.927	1.789	15.8	0.087	0.989	2000.0
201	3.159	17.841	1.638	14.639	0.089	0.987	5000.0
202	4.057	22.875	2.044	19.053	0.099	0.98	4000.0
203	4.7	26.16	2.21	20.418	0.118	0.975	3000.0
204	3.954	22.497	1.933	17.759	0.086	0.981	3000.0
205	3.501	19.813	1.632	14.909	0.066	0.989	4000.0
206	3.987	22.592	1.936	19.044	0.094	0.976	2000.0
207	4.569	24.893	2.072	18.681	0.112	0.979	6000.0
208	4.024	22.038	1.937	17.298	0.108	0.983	4000.0
209	4.624	26.083	2.323	20.712	0.122	0.976	3000.0
210	3.027	17.058	1.475	13.431	0.081	0.987	3000.0
211	4.023	22.657	1.838	17.559	0.109	0.98	3000.0
212	4.785	26.559	2.488	21.624	0.097	0.979	5000.0
213	4.738	26.462	2.298	21.108	0.095	0.975	3000.0
214	4.048	22.474	1.792	16.471	0.089	0.987	3000.0
215	2.45	13.83	1.18	10.088	0.052	0.995	7000.0
216	4.355	25.07	2.018	18.655	0.121	0.981	5000.0
217	4.205	23.511	1.923	18.506	0.109	0.98	4000.0
218	4.362	24.425	2.117	19.571	0.107	0.979	2000.0
219	2.459	14.016	1.253	10.842	0.055	0.993	5000.0
220	4.58	25.867	2.3	21.054	0.105	0.98	2000.0
221	3.538	19.775	1.717	16.214	0.081	0.986	5000.0
222	3.691	21.368	1.807	16.61	0.106	0.986	3000.0
223	3.294	18.64	1.534	12.987	0.075	0.992	2000.0
224	3.675	20.717	1.895	17.662	0.081	0.982	4000.0
225	3.721	21.638	2.023	19.717	0.06	0.975	2000.0
226	3.005	16.875	1.5	13.237	0.066	0.987	5000.0
227	3.149	17.768	1.562	14.228	0.07	0.988	2000.0
228	3.541	20.067	1.754	15.015	0.082	0.987	7000.0
229	3.667	20.337	1.751	16.267	0.077	0.985	3000.0
230	3.456	19.862	1.712	16.56	0.09	0.984	3000.0
231	4.088	23.351	2.107	19.062	0.092	0.978	3000.0
232	2.443	13.445	1.276	10.646	0.062	0.994	2000.0
233	3.958	22.113	1.958	17.85	0.082	0.984	3000.0
234	3.947	22.246	1.899	17.929	0.089	0.98	3000.0
235	3.868	22.507	1.906	17.799	0.099	0.976	4000.0
236	4.184	23.549	2.091	18.458	0.113	0.98	2000.0
237	3.093	16.928	1.733	15.522	0.035	0.987	2000.0
238	3.491	19.573	1.663	15.816	0.089	0.986	2000.0
239	2.551	14.711	1.269	11.213	0.056	0.992	4000.0
240	2.701	15.107	1.313	11.495	0.066	0.993	3000.0
241	3.432	19.438	1.604	14.028	0.085	0.991	3000.0
242	3.042	17.086	1.398	12.951	0.075	0.989	2000.0
243	4.628	26.263	2.15	20.057	0.119	0.979	3000.0
244	3.544	19.602	1.816	16.571	0.052	0.983	3000.0
245	4.064	23.19	1.88	17.845	0.122	0.983	3000.0
246	5.023	28.006	2.596	23.818	0.1	0.976	4000.0
247	4.755	26.836	2.426	22.526	0.098	0.976	3000.0
248	2.714	14.996	1.27	10.926	0.053	0.993	3000.0
249	3.487	19.568	1.554	14.87	0.093	0.985	17000.0
250	4.172	23.58	2.239	20.693	0.082	0.976	2000.0
251	4.059	22.851	1.99	18.771	0.115	0.98	2000.0
252	4.631	26.323	2.022	19.041	0.136	0.979	3000.0
253	3.5	19.407	1.589	15.479	0.084	0.986	2000.0
254	4.027	22.507	1.847	17.999	0.091	0.981	3000.0
255	2.657	14.79	1.356	11.279	0.06	0.992	2000.0
256	3.452	19.156	1.769	16.144	0.062	0.987	44000.0
257	5.114	28.673	2.437	23.286	0.132	0.97	4000.0
258	3.058	16.97	1.417	13.05	0.069	0.991	4000.0
259	4.649	25.889	2.275	22.332	0.109	0.966	2000.0
260	3.283	18.764	1.516	13.704	0.09	0.99	3000.0
261	4.855	27.589	2.342	20.327	0.127	0.981	5000.0
262	3.592	20.131	1.721	15.128	0.077	0.989	2000.0
263	4.01	22.923	2.061	17.767	0.082	0.982	3000.0
264	3.45	19.762	1.768	16.412	0.079	0.986	3000.0
265	4.901	26.927	2.458	22.125	0.107	0.974	2000.0
266	2.848	15.581	1.331	11.726	0.086	0.99	9000.0
267	3.647	20.339	1.745	15.766	0.087	0.986	2000.0
