NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
213	3.466	19.531	1.718	15.838	0.076	0.982	6000.0
214	3.955	22.893	2.028	18.846	0.076	0.977	3000.0
215	4.105	23.547	2.055	19.094	0.116	0.976	3000.0
216	4.445	25.126	2.026	19.847	0.106	0.976	2000.0
217	4.729	26.364	2.556	22.894	0.107	0.957	3000.0
218	3.241	18.421	1.653	14.108	0.069	0.992	3000.0
219	4.766	26.945	2.581	23.213	0.063	0.972	2000.0
220	3.203	18.225	1.568	13.886	0.081	0.99	3000.0
221	3.804	21.518	1.81	15.605	0.095	0.988	3000.0
222	2.949	16.72	1.422	13.95	0.094	0.986	6000.0
223	3.403	18.947	1.795	15.835	0.065	0.985	3000.0
224	4.619	25.89	2.233	20.634	0.105	0.98	3000.0
225	2.12	11.946	1.08	9.243	0.049	0.994	12000.0
226	4.521	24.799	2.141	19.696	0.103	0.98	2000.0
227	2.669	15.034	1.359	12.206	0.042	0.992	3000.0
228	4.139	23.449	2.174	20.098	0.077	0.976	4000.0
229	2.936	16.423	1.41	12.855	0.078	0.989	11000.0
230	4.513	25.956	2.314	21.226	0.089	0.978	4000.0
231	3.052	17.468	1.505	13.727	0.079	0.989	4000.0
232	2.973	16.514	1.414	12.646	0.073	0.991	4000.0
233	4.407	24.958	2.03	19.178	0.126	0.977	3000.0
234	2.638	14.814	1.373	12.684	0.043	0.99	2000.0
235	3.268	18.137	1.444	12.821	0.076	0.992	4000.0
236	3.312	18.714	1.58	14.63	0.072	0.988	3000.0
237	3.91	22.344	2.091	19.877	0.082	0.978	8000.0
238	4.628	26.084	2.298	21.376	0.104	0.978	2000.0
239	3.399	19.178	1.65	15.947	0.085	0.985	3000.0
240	3.813	20.982	1.717	15.886	0.106	0.984	5000.0
241	3.369	18.754	1.58	15.593	0.081	0.985	27000.0
242	4.332	24.108	2.237	21.168	0.09	0.975	2000.0
243	3.217	17.951	1.614	14.729	0.088	0.987	2000.0
244	3.687	21.172	1.824	16.124	0.104	0.987	3000.0
245	3.529	19.793	1.791	15.86	0.077	0.986	2000.0
246	3.643	20.622	1.74	15.303	0.099	0.991	2000.0
247	3.275	18.126	1.583	14.658	0.09	0.986	2000.0
248	3.214	17.853	1.625	14.426	0.06	0.988	3000.0
249	3.256	18.371	1.501	13.613	0.085	0.989	4000.0
250	2.42	13.992	1.174	10.685	0.068	0.993	4000.0
251	3.473	19.649	1.843	16.757	0.065	0.984	2000.0
252	5.512	31.748	2.557	24.316	0.151	0.961	3000.0
253	4.333	24.784	2.062	20.73	0.096	0.978	4000.0
254	2.931	16.11	1.388	12.458	0.092	0.988	6000.0
255	2.93	16.316	1.516	12.788	0.076	0.991	10000.0
256	3.187	17.779	1.588	14.141	0.066	0.99	2000.0
257	3.638	20.1	1.718	15.724	0.075	0.986	5000.0
258	2.814	15.834	1.213	10.395	0.079	0.993	47000.0
259	4.078	22.86	1.959	18.299	0.097	0.982	3000.0
260	3.478	20.275	1.789	16.052	0.072	0.985	3000.0
261	3.081	17.274	1.616	14.129	0.069	0.991	8000.0
262	4.656	26.851	2.424	23.494	0.09	0.966	2000.0
263	4.611	26.04	2.355	21.572	0.115	0.975	3000.0
264	4.5	25.744	2.239	21.198	0.108	0.967	3000.0
265	2.981	16.843	1.522	13.105	0.052	0.989	5000.0
266	2.838	15.955	1.428	11.86	0.065	0.993	4000.0
267	4.103	23.092	1.914	17.518	0.122	0.984	5000.0
268	4.149	23.493	2.035	19.003	0.088	0.979	3000.0
269	4.141	23.079	2.041	18.496	0.116	0.982	2000.0
270	3.425	18.945	1.903	15.895	0.071	0.984	3000.0
271	2.851	15.768	1.402	12.797	0.072	0.99	6000.0
272	5.032	28.441	2.318	21.777	0.127	0.973	3000.0
273	3.891	21.456	2.063	18.59	0.074	0.975	4000.0
274	4.357	24.58	2.153	19.561	0.085	0.98	5000.0
275	4.559	26.459	2.368	22.967	0.105	0.965	2000.0
276	5.402	30.809	3.089	28.627	0.084	0.959	2000.0
277	3.722	20.397	1.858	18.17	0.088	0.975	4000.0
278	3.153	17.555	1.629	15.949	0.074	0.984	2000.0
279	3.611	20.005	1.612	14.494	0.081	0.99	3000.0
280	3.449	19.898	1.595	15.417	0.08	0.985	2000.0
281	4.115	22.977	2.057	18.483	0.111	0.98	3000.0
282	4.008	22.013	1.921	16.821	0.084	0.986	2000.0
283	5.036	28.428	2.458	23.024	0.107	0.967	2000.0
284	4.296	24.415	2.015	19.341	0.094	0.976	3000.0
285	2.403	13.114	1.26	11.802	0.071	0.987	51000.0
286	4.264	23.722	2.008	19.484	0.096	0.982	2000.0
287	3.563	19.897	1.849	16.131	0.096	0.987	3000.0
288	4.234	24.033	2.035	19.412	0.108	0.98	4000.0
289	4.12	23.084	1.824	17.161	0.078	0.985	3000.0
290	3.314	18.626	1.687	14.705	0.088	0.989	4000.0
291	3.592	19.992	1.84	15.027	0.075	0.988	2000.0
292	3.404	18.941	1.608	14.298	0.076	0.99	4000.0
293	4.943	27.977	2.4	23.655	0.112	0.968	5000.0
294	2.014	11.401	1.087	9.556	0.038	0.995	4000.0
295	2.471	14.176	1.247	11.445	0.049	0.993	3000.0
296	4.125	23.059	2.102	18.172	0.076	0.986	2000.0
297	4.294	23.88	2.046	18.972	0.111	0.982	3000.0
298	3.595	19.947	1.612	15.406	0.093	0.986	3000.0
299	3.54	20.113	1.811	16.713	0.092	0.981	4000.0
300	4.877	27.516	2.351	21.52	0.129	0.977	2000.0
301	3.587	19.995	1.593	14.484	0.097	0.988	2000.0
302	4.622	25.622	2.304	20.888	0.113	0.978	2000.0
303	4.079	23.044	2.01	17.89	0.104	0.98	2000.0
304	3.343	18.595	1.493	12.627	0.089	0.992	3000.0
305	3.663	20.664	1.746	16.144	0.084	0.983	3000.0
306	5.018	27.434	2.457	20.8	0.12	0.979	2000.0
307	4.007	22.875	2.001	18.477	0.103	0.982	3000.0
308	3.679	20.949	1.836	16.78	0.08	0.984	3000.0
309	3.029	16.927	1.561	14.028	0.09	0.988	2000.0
310	4.226	23.542	2.071	19.51	0.1	0.979	3000.0
311	3.657	20.417	1.754	16.116	0.085	0.986	2000.0
312	3.192	17.719	1.633	14.655	0.056	0.989	3000.0
313	2.202	12.12	1.11	10.221	0.045	0.994	3000.0
314	4.391	24.474	2.244	19.45	0.119	0.98	3000.0
315	4.0	22.836	1.908	18.323	0.108	0.98	4000.0
316	4.967	27.608	2.192	21.608	0.127	0.969	3000.0
317	5.744	32.243	2.716	24.5	0.143	0.971	2000.0
318	3.187	17.773	1.62	14.606	0.059	0.985	3000.0
319	4.697	26.269	2.188	20.189	0.119	0.979	3000.0
320	3.737	21.286	1.89	17.628	0.076	0.983	2000.0
321	4.221	23.738	2.06	19.167	0.105	0.981	2000.0
322	3.315	18.606	1.712	15.403	0.067	0.987	4000.0
323	3.57	19.81	1.806	16.743	0.091	0.983	4000.0
324	4.225	24.153	1.943	17.672	0.112	0.984	3000.0
325	3.837	22.189	1.829	17.112	0.097	0.983	3000.0
326	4.082	22.736	2.033	19.185	0.095	0.981	3000.0
327	4.931	28.097	2.512	23.58	0.097	0.968	2000.0
328	2.994	16.665	1.529	13.48	0.055	0.991	3000.0
329	4.127	23.08	2.246	20.908	0.056	0.973	4000.0
330	3.446	19.248	1.602	14.584	0.081	0.987	2000.0
331	4.408	24.836	2.214	20.766	0.101	0.981	2000.0
332	4.264	24.291	2.11	18.838	0.097	0.985	2000.0
333	4.779	27.314	2.297	21.362	0.118	0.974	4000.0
334	4.808	27.173	2.358	21.948	0.13	0.971	4000.0
335	3.639	20.939	1.792	15.771	0.088	0.986	10000.0
336	3.994	22.571	1.972	18.56	0.079	0.982	3000.0
337	5.387	29.933	2.484	23.932	0.121	0.963	5000.0
338	4.806	27.097	2.231	21.249	0.125	0.972	5000.0
339	4.671	26.174	2.251	21.594	0.12	0.973	2000.0
340	3.33	18.775	1.651	14.916	0.081	0.991	2000.0
341	3.645	21.079	1.823	17.107	0.082	0.983	2000.0
342	5.019	28.122	2.579	24.028	0.109	0.968	2000.0
343	4.097	22.693	1.923	17.951	0.075	0.981	3000.0
344	3.634	20.32	1.694	15.037	0.098	0.988	3000.0
345	4.909	27.46	2.389	21.251	0.107	0.978	5000.0
346	3.96	22.527	2.154	19.452	0.082	0.979	3000.0
347	2.99	16.844	1.614	14.074	0.069	0.988	4000.0
348	3.497	19.615	1.666	15.208	0.091	0.989	9000.0
349	4.611	25.824	2.217	20.014	0.121	0.974	2000.0
350	3.663	21.216	1.724	15.301	0.093	0.986	4000.0
351	4.209	23.81	1.942	17.747	0.106	0.983	3000.0
352	4.948	28.003	2.35	22.894	0.11	0.975	2000.0
353	2.709	14.992	1.288	11.505	0.072	0.991	6000.0
354	2.797	15.48	1.338	12.273	0.061	0.991	4000.0
355	3.474	19.546	1.77	14.656	0.072	0.992	2000.0
356	2.439	13.659	1.29	11.988	0.046	0.993	3000.0
357	5.596	30.839	2.744	25.601	0.116	0.962	3000.0
358	4.669	26.304	2.25	21.378	0.122	0.976	2000.0
359	4.468	25.38	2.18	20.397	0.127	0.977	2000.0
360	4.419	24.992	2.122	18.814	0.108	0.981	2000.0
361	3.556	20.046	1.752	15.615	0.086	0.988	2000.0
362	2.799	15.672	1.286	12.268	0.072	0.989	3000.0
363	3.694	20.735	1.76	16.96	0.101	0.982	6000.0
364	3.582	19.907	1.667	14.333	0.096	0.988	2000.0
365	3.851	21.724	1.834	17.421	0.066	0.981	2000.0
366	3.853	21.879	1.964	17.638	0.108	0.981	2000.0
367	5.1	28.935	2.343	21.951	0.139	0.974	2000.0
368	3.245	18.635	1.591	14.183	0.067	0.989	2000.0
369	3.909	21.992	1.949	17.367	0.098	0.983	3000.0
370	4.098	23.322	1.955	17.412	0.104	0.985	3000.0
371	3.923	22.351	1.874	17.054	0.09	0.985	3000.0
372	3.507	20.294	1.818	15.682	0.075	0.988	4000.0
373	4.394	24.714	2.25	21.769	0.093	0.975	3000.0
374	3.369	18.832	1.673	14.969	0.086	0.986	10000.0
375	4.396	24.452	2.026	18.631	0.113	0.982	2000.0
376	2.689	15.518	1.308	12.548	0.07	0.99	2000.0
377	4.577	25.583	2.224	20.933	0.104	0.975	2000.0
378	6.534	36.679	3.171	28.585	0.171	0.952	3000.0
379	4.527	25.385	2.183	20.1	0.083	0.979	2000.0
380	3.64	20.139	1.822	16.703	0.076	0.983	2000.0
381	4.623	26.041	2.212	19.337	0.136	0.983	4000.0
382	5.281	30.388	2.587	24.108	0.118	0.972	4000.0
383	2.558	14.446	1.2	10.303	0.055	0.994	3000.0
384	4.673	25.965	2.124	19.865	0.117	0.982	3000.0
385	3.644	19.956	1.692	15.696	0.078	0.984	3000.0
386	4.504	25.151	2.214	19.744	0.098	0.98	3000.0
387	3.961	22.192	1.904	17.884	0.115	0.98	4000.0
388	5.054	29.067	2.48	23.301	0.13	0.965	3000.0
389	2.534	13.722	1.233	11.31	0.07	0.991	2000.0
390	1.742	9.709	0.958	8.015	0.039	0.996	2000.0
391	4.129	22.936	2.061	18.887	0.107	0.982	3000.0
392	3.541	19.82	1.753	16.301	0.085	0.985	3000.0
393	3.971	22.395	1.79	16.444	0.105	0.985	5000.0
394	4.383	24.935	2.247	19.199	0.098	0.981	4000.0
395	2.937	16.541	1.483	13.926	0.064	0.988	2000.0
396	4.449	25.299	2.321	20.891	0.103	0.975	4000.0
397	3.401	19.356	1.565	14.029	0.089	0.991	5000.0
398	2.735	15.366	1.527	13.346	0.06	0.987	6000.0
399	3.64	20.744	1.861	17.465	0.117	0.98	2000.0
400	3.222	18.077	1.715	14.909	0.057	0.985	3000.0
401	3.893	21.808	1.943	17.378	0.085	0.986	2000.0
402	3.388	19.43	1.734	16.171	0.057	0.984	3000.0
403	4.473	25.494	2.269	21.137	0.128	0.966	3000.0
404	3.059	17.311	1.584	13.579	0.076	0.991	2000.0
405	2.856	15.974	1.365	12.581	0.076	0.99	13000.0
406	4.765	26.786	2.309	22.26	0.123	0.972	3000.0
407	3.885	21.478	1.869	18.098	0.084	0.983	3000.0
408	3.589	20.573	1.815	16.943	0.097	0.984	4000.0
409	5.425	30.91	2.958	26.97	0.115	0.953	4000.0
410	2.889	15.939	1.329	11.782	0.075	0.991	3000.0
411	3.658	20.692	1.723	15.844	0.113	0.984	2000.0
412	3.512	19.655	1.64	15.334	0.081	0.987	5000.0
413	4.364	24.642	2.197	19.827	0.09	0.981	3000.0
414	5.197	30.099	2.485	22.992	0.134	0.975	2000.0
415	1.952	10.844	1.037	8.746	0.044	0.994	2000.0
416	3.943	22.246	2.043	18.03	0.087	0.981	8000.0
