NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.323	7.23	0.648	6.157	0.022	0.997	2000.0
2	1.8	10.087	0.927	8.61	0.032	0.993	4000.0
3	2.486	13.951	1.22	11.515	0.047	0.993	3000.0
4	2.923	16.348	1.547	13.791	0.034	0.988	4000.0
5	2.901	16.313	1.634	15.138	0.049	0.986	3000.0
6	1.894	11.042	0.983	9.302	0.038	0.995	5000.0
7	1.755	9.783	0.945	9.45	0.039	0.993	2000.0
8	2.023	11.253	1.023	9.619	0.035	0.995	3000.0
9	1.477	8.111	0.811	7.544	0.029	0.996	4000.0
10	2.176	12.073	1.038	9.263	0.04	0.995	3000.0
11	1.639	9.248	0.793	6.77	0.035	0.997	13000.0
12	2.885	16.219	1.497	14.24	0.034	0.989	51000.0
13	1.674	9.522	0.785	6.975	0.034	0.997	7000.0
14	2.367	13.112	1.103	11.288	0.059	0.986	2000.0
15	2.765	15.663	1.424	13.488	0.036	0.99	4000.0
16	3.174	17.404	1.613	15.191	0.044	0.986	3000.0
17	2.224	12.336	1.147	10.032	0.038	0.995	3000.0
18	1.5	8.492	0.848	7.696	0.013	0.996	3000.0
19	3.375	18.72	1.62	15.114	0.06	0.985	3000.0
20	2.275	12.798	1.24	12.078	0.041	0.989	4000.0
21	1.967	10.617	1.1	9.934	0.054	0.992	3000.0
22	2.817	15.9	1.506	14.455	0.059	0.986	2000.0
23	2.101	11.777	1.211	11.248	0.038	0.993	9000.0
24	2.725	15.284	1.339	13.042	0.053	0.99	5000.0
25	1.547	8.43	0.862	7.711	0.028	0.997	4000.0
26	1.399	7.87	0.694	5.623	0.03	0.998	3000.0
27	1.454	8.728	0.868	7.645	0.018	0.995	3000.0
28	2.339	13.01	1.421	11.618	0.062	0.993	3000.0
29	2.185	12.38	1.034	10.274	0.044	0.993	2000.0
30	2.261	12.544	1.164	11.249	0.035	0.991	2000.0
31	1.091	5.593	0.59	5.77	0.017	0.996	3000.0
32	3.429	19.512	1.906	16.785	0.053	0.983	4000.0
33	2.846	15.555	1.44	13.256	0.058	0.989	3000.0
