NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.182	52.524	4.247	37.398	0.31	0.912	2000.0
2	10.243	57.401	4.865	43.803	0.374	0.894	2000.0
3	7.734	43.492	3.543	30.863	0.261	0.942	2000.0
4	9.443	52.637	3.94	36.838	0.355	0.929	2000.0
5	8.762	49.371	3.912	36.851	0.272	0.931	2000.0
6	9.903	55.318	4.644	39.874	0.346	0.903	2000.0
7	10.591	60.219	4.81	44.588	0.385	0.9	2000.0
8	9.193	51.706	4.288	38.467	0.293	0.923	2000.0
9	8.68	49.567	4.106	36.233	0.295	0.926	2000.0
10	9.33	52.676	4.251	38.394	0.292	0.925	2000.0
11	11.089	62.735	5.366	46.196	0.415	0.874	2000.0
12	9.902	55.598	4.579	41.284	0.362	0.905	3000.0
13	8.4	47.116	3.672	33.836	0.301	0.948	2000.0
14	10.413	58.404	4.942	42.798	0.335	0.894	2000.0
15	8.59	48.62	3.852	36.438	0.291	0.934	2000.0
16	9.45	52.929	4.235	38.467	0.339	0.92	2000.0
17	7.12	39.8	3.325	29.197	0.219	0.951	2000.0
18	9.457	54.257	4.063	39.438	0.341	0.906	2000.0
19	7.956	45.387	3.993	34.527	0.257	0.921	2000.0
20	9.455	53.338	4.296	37.577	0.311	0.921	2000.0
21	8.665	49.081	3.948	35.82	0.284	0.94	2000.0
22	9.168	51.168	4.18	37.455	0.298	0.926	2000.0
23	8.395	47.279	3.699	32.724	0.301	0.936	2000.0
24	10.698	60.984	4.73	45.166	0.364	0.882	2000.0
25	8.851	49.652	4.101	37.778	0.288	0.93	2000.0
26	10.556	59.812	4.924	42.414	0.379	0.893	2000.0
27	9.071	50.804	4.004	37.104	0.302	0.928	2000.0
28	8.398	47.164	3.912	33.775	0.259	0.944	2000.0
29	9.085	51.438	4.11	36.118	0.3	0.931	2000.0
30	9.026	50.683	3.762	36.455	0.341	0.931	2000.0
31	9.116	51.256	4.077	36.149	0.324	0.928	2000.0
