NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
359	11.287	41.924	4.692	39.512	0.175	0.906	5000.0
360	9.843	36.764	3.984	33.215	0.156	0.938	4000.0
361	8.969	33.644	3.687	31.605	0.123	0.937	2000.0
362	11.396	42.702	4.74	39.23	0.166	0.903	2000.0
363	12.758	47.884	5.507	45.343	0.211	0.88	2000.0
364	11.925	44.65	5.273	41.332	0.211	0.907	3000.0
365	11.35	42.375	4.678	39.817	0.191	0.906	2000.0
366	11.067	41.634	4.486	38.16	0.17	0.91	2000.0
367	10.374	38.534	4.01	35.285	0.155	0.924	2000.0
368	13.609	50.418	5.527	45.074	0.24	0.879	2000.0
369	11.19	41.686	4.512	36.418	0.189	0.921	3000.0
370	11.045	41.169	4.587	38.397	0.186	0.904	3000.0
371	10.172	38.053	4.047	36.154	0.152	0.918	4000.0
372	9.139	34.205	3.674	32.356	0.149	0.934	3000.0
373	11.087	41.535	4.507	39.784	0.17	0.907	5000.0
374	12.027	44.904	5.005	41.545	0.212	0.891	3000.0
375	12.574	46.955	5.086	43.05	0.205	0.884	3000.0
376	10.744	40.2	4.614	37.444	0.172	0.924	2000.0
377	11.078	41.585	4.326	37.81	0.175	0.908	4000.0
378	10.546	39.304	4.434	36.978	0.16	0.918	3000.0
379	12.115	45.206	5.207	41.81	0.213	0.891	3000.0
380	11.277	42.385	4.721	39.561	0.169	0.907	2000.0
381	11.832	44.437	4.802	41.795	0.188	0.888	2000.0
382	11.133	41.914	4.894	42.728	0.197	0.884	2000.0
383	11.451	43.034	4.47	38.939	0.201	0.904	3000.0
384	10.191	37.987	4.185	36.012	0.145	0.915	3000.0
385	12.258	45.901	5.032	43.031	0.215	0.889	2000.0
386	11.102	41.267	4.641	38.551	0.149	0.908	3000.0
387	11.936	44.619	5.07	43.159	0.211	0.882	2000.0
388	10.938	40.74	4.577	37.567	0.183	0.916	3000.0
389	10.493	39.154	4.405	36.891	0.158	0.915	3000.0
390	12.917	48.355	5.144	43.137	0.212	0.891	2000.0
391	13.282	49.474	5.505	44.993	0.217	0.88	2000.0
392	11.504	43.069	4.863	41.241	0.189	0.896	4000.0
393	13.434	49.728	5.793	45.838	0.229	0.869	3000.0
394	10.194	38.218	4.373	37.112	0.152	0.909	2000.0
395	12.668	47.585	5.243	43.106	0.2	0.885	2000.0
396	11.671	43.27	4.854	40.516	0.181	0.9	2000.0
397	10.904	40.669	4.685	38.12	0.185	0.911	2000.0
398	11.331	42.262	4.636	38.557	0.181	0.902	2000.0
399	11.976	45.149	4.905	41.515	0.209	0.895	2000.0
400	12.248	45.683	5.293	43.595	0.188	0.888	3000.0
401	10.499	39.121	4.389	36.015	0.161	0.925	2000.0
402	13.148	48.881	5.167	42.539	0.222	0.886	2000.0
403	12.751	47.823	5.35	43.599	0.205	0.893	2000.0
404	12.393	45.96	5.02	42.963	0.206	0.879	3000.0
405	10.967	40.91	4.557	37.255	0.176	0.913	3000.0
406	10.555	39.492	4.282	37.103	0.168	0.916	3000.0
407	11.464	42.196	4.875	38.142	0.168	0.911	4000.0
408	10.971	40.798	4.24	36.646	0.174	0.91	2000.0
409	10.933	41.045	4.39	37.939	0.185	0.915	3000.0
410	11.123	41.305	4.453	37.989	0.18	0.917	3000.0
411	9.621	36.042	4.062	34.24	0.137	0.93	3000.0
412	13.232	49.64	5.565	44.875	0.234	0.88	3000.0
413	9.701	36.147	3.953	34.364	0.14	0.926	4000.0
414	12.534	47.066	4.946	41.69	0.21	0.886	2000.0
415	11.476	42.935	4.778	40.462	0.189	0.904	2000.0
416	11.419	42.806	4.778	38.585	0.192	0.915	4000.0
417	10.542	39.464	4.491	37.54	0.174	0.915	2000.0
418	13.192	49.098	5.284	41.849	0.224	0.895	3000.0
419	11.791	44.121	5.077	42.959	0.201	0.88	4000.0
420	11.112	41.399	4.545	38.523	0.189	0.903	2000.0
421	12.461	46.436	5.115	42.288	0.199	0.897	2000.0
422	9.175	34.391	3.84	33.572	0.134	0.937	2000.0
423	11.187	41.955	4.732	39.636	0.189	0.909	2000.0
424	11.366	42.225	5.031	40.834	0.162	0.903	2000.0
425	10.67	40.113	4.711	39.412	0.158	0.909	3000.0
426	13.278	49.462	5.218	43.374	0.23	0.88	2000.0
427	10.779	40.153	4.554	37.427	0.158	0.907	2000.0
428	10.883	40.525	4.422	36.954	0.18	0.918	5000.0
429	11.002	41.017	4.66	38.542	0.194	0.896	2000.0
430	12.156	45.382	5.0	40.705	0.194	0.904	5000.0
