NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.151	0.552	0.092	0.817	0.001	1.0	6000.0
2	1.882	7.025	0.85	7.383	0.015	0.995	9000.0
3	1.335	5.042	0.595	5.148	0.006	0.998	8000.0
4	2.17	8.083	1.104	9.298	0.008	0.994	8000.0
5	1.067	4.003	0.476	3.923	0.005	0.999	8000.0
6	1.588	6.071	0.851	7.516	0.011	0.994	5000.0
7	1.488	5.664	0.704	6.367	0.01	0.996	7000.0
8	0.84	3.218	0.421	3.487	0.006	0.999	29000.0
9	1.349	5.098	0.615	5.457	0.006	0.998	39000.0
10	0.738	2.722	0.364	3.263	0.003	0.999	8000.0
11	0.689	2.613	0.316	2.914	0.004	0.999	12000.0
12	0.591	2.232	0.29	2.617	0.002	0.999	16000.0
13	1.314	4.894	0.636	5.286	0.006	0.998	18000.0
14	0.865	3.285	0.455	3.853	0.003	0.999	4000.0
15	0.673	2.488	0.333	2.765	0.001	0.999	9000.0
16	1.644	6.147	0.719	6.252	0.008	0.996	4000.0
17	0.629	2.332	0.304	2.532	0.003	1.0	7000.0
18	1.156	4.32	0.617	4.755	0.003	0.998	6000.0
19	0.779	2.975	0.367	3.089	0.004	0.999	5000.0
20	1.681	6.321	0.817	7.191	0.007	0.997	8000.0
21	0.574	2.084	0.27	2.102	0.003	1.0	5000.0
22	1.14	4.295	0.588	4.934	0.004	0.998	7000.0
23	0.919	3.356	0.454	3.77	0.003	0.999	22000.0
24	1.501	5.604	0.703	5.742	0.009	0.998	10000.0
25	0.43	1.557	0.228	1.781	0.001	1.0	46000.0
26	0.163	0.595	0.072	0.647	0.0	1.0	33000.0
27	1.36	5.098	0.634	5.201	0.004	0.998	7000.0
28	1.347	5.03	0.574	4.765	0.006	0.998	5000.0
29	1.508	5.641	0.79	6.395	0.007	0.997	11000.0
30	1.263	4.668	0.672	5.457	0.011	0.998	3000.0
31	0.502	1.835	0.27	2.272	0.002	0.999	27000.0
32	0.66	2.439	0.395	3.356	0.004	0.999	40000.0
33	1.734	6.429	0.752	6.175	0.008	0.997	4000.0
34	1.064	4.068	0.516	4.592	0.005	0.998	7000.0
35	0.708	2.65	0.333	2.736	0.002	1.0	7000.0
36	1.381	5.205	0.705	5.718	0.004	0.997	11000.0
37	1.094	4.101	0.565	4.867	0.011	0.997	8000.0
38	1.74	6.454	0.808	6.94	0.01	0.996	22000.0
39	0.57	2.145	0.256	2.223	0.001	1.0	24000.0
40	1.205	4.502	0.596	5.028	0.003	0.997	13000.0
41	0.976	3.63	0.482	3.772	0.002	0.999	12000.0
42	0.481	1.819	0.245	2.115	0.002	0.999	8000.0
43	2.011	7.478	1.07	8.399	0.016	0.994	5000.0
44	1.169	4.304	0.6	4.9	0.006	0.997	9000.0
45	0.747	2.778	0.359	2.995	0.002	0.999	0.0
46	0.922	3.333	0.461	3.728	0.002	0.999	13000.0
47	0.974	3.551	0.533	4.558	0.006	0.998	24000.0
48	0.669	2.465	0.335	2.836	0.003	0.999	18000.0
49	1.16	4.296	0.557	4.64	0.003	0.999	7000.0
50	2.041	7.578	0.916	7.099	0.017	0.997	5000.0
51	1.323	4.944	0.595	5.239	0.004	0.998	7000.0
52	0.83	3.125	0.407	3.498	0.003	0.999	8000.0
53	1.475	5.469	0.762	6.429	0.006	0.997	14000.0
54	1.168	4.402	0.526	4.333	0.006	0.998	8000.0
55	1.141	4.28	0.608	4.989	0.006	0.998	21000.0
56	0.343	1.275	0.168	1.425	0.001	1.0	37000.0
57	0.611	2.249	0.338	2.856	0.001	0.999	20000.0
58	1.089	4.1	0.491	4.292	0.003	0.998	11000.0
59	1.125	4.144	0.571	4.619	0.005	0.999	22000.0
60	0.639	2.365	0.342	3.077	0.005	0.999	9000.0
61	1.484	5.602	0.69	6.249	0.012	0.997	6000.0
62	0.484	1.807	0.245	2.107	0.003	1.0	27000.0
63	1.608	6.044	0.762	6.57	0.006	0.997	13000.0
