NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.951	7.331	0.932	7.972	0.01	0.995	17000.0
2	1.686	6.334	0.695	5.849	0.016	0.997	7000.0
3	2.036	7.688	0.864	7.488	0.008	0.996	6000.0
4	3.075	11.532	1.373	11.653	0.019	0.99	4000.0
5	1.732	6.568	0.807	7.017	0.011	0.995	12000.0
6	1.7	6.299	0.802	7.019	0.011	0.996	5000.0
7	1.817	6.777	0.862	7.058	0.011	0.997	13000.0
8	2.916	10.864	1.401	11.427	0.013	0.992	5000.0
9	1.923	7.136	0.884	7.39	0.009	0.996	7000.0
10	2.207	8.224	0.985	9.344	0.01	0.993	6000.0
11	1.564	5.79	0.674	5.864	0.005	0.998	8000.0
12	1.252	4.695	0.572	5.104	0.006	0.998	58000.0
13	1.954	7.286	0.863	7.386	0.009	0.995	14000.0
14	2.46	9.327	1.124	9.198	0.02	0.993	10000.0
15	1.596	5.933	0.743	6.477	0.006	0.997	8000.0
16	2.944	11.026	1.348	11.409	0.036	0.991	6000.0
17	1.744	6.593	0.78	6.943	0.008	0.996	5000.0
18	2.513	9.44	1.159	9.265	0.016	0.995	9000.0
19	2.024	7.51	0.895	7.25	0.017	0.997	23000.0
20	2.192	8.299	1.068	9.736	0.02	0.993	9000.0
21	1.916	7.07	0.849	6.927	0.009	0.996	9000.0
22	2.253	8.267	1.06	8.353	0.012	0.995	4000.0
23	1.44	5.419	0.726	6.386	0.009	0.997	11000.0
24	2.847	10.672	1.34	11.053	0.021	0.992	4000.0
25	1.585	5.85	0.709	6.036	0.006	0.997	14000.0
26	0.542	1.985	0.234	2.095	0.001	1.0	13000.0
27	2.624	9.644	1.2	9.64	0.01	0.993	6000.0
28	2.551	9.657	1.168	9.829	0.018	0.993	3000.0
29	2.586	9.682	1.333	10.726	0.014	0.988	7000.0
30	2.434	9.189	1.09	9.448	0.012	0.993	7000.0
31	1.258	4.589	0.579	4.872	0.004	0.998	11000.0
32	1.44	5.265	0.653	5.543	0.004	0.998	6000.0
33	2.597	9.707	1.136	9.553	0.019	0.994	6000.0
34	2.501	9.379	1.084	9.547	0.012	0.994	7000.0
35	1.49	5.597	0.665	5.653	0.006	0.998	4000.0
36	1.499	5.747	0.646	5.851	0.009	0.997	6000.0
37	1.749	6.484	0.817	6.784	0.014	0.997	16000.0
38	2.919	10.87	1.253	10.877	0.023	0.992	5000.0
39	1.169	4.359	0.542	4.612	0.002	0.999	10000.0
40	2.084	7.699	1.033	8.636	0.011	0.995	5000.0
41	1.143	4.214	0.525	4.383	0.005	0.998	6000.0
42	2.312	8.497	0.996	7.749	0.014	0.996	14000.0
43	2.746	10.509	1.221	10.324	0.022	0.986	3000.0
44	2.328	8.733	1.092	9.737	0.017	0.992	7000.0
45	2.002	7.568	0.96	8.044	0.009	0.995	5000.0
46	1.903	7.223	0.91	7.536	0.012	0.995	5000.0
47	3.307	12.334	1.569	13.178	0.017	0.989	4000.0
48	1.486	5.461	0.617	5.276	0.008	0.998	5000.0
49	1.682	6.229	0.804	6.598	0.006	0.997	11000.0
