MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I	CNV48J
2:het:>40Mb	3.71E-03	3.15E-03	3.69E-03	4.70E-03	2.87E-03	3.32E-03	3.84E-03	8.85E-03	3.24E-03	4.39E-03
3-4:het:0-100kb	3.31E-03	3.41E-03	4.17E-03	2.61E-03	4.06E-03	4.31E-03	3.40E-03	1.75E-03	5.12E-03	3.59E-03
3-4:het:100kb-1Mb	4.56E-08	3.89E-08	4.88E-08	5.51E-08	3.87E-08	3.69E-08	5.04E-08	5.51E-08	5.37E-08	6.44E-08
3-4:het:1Mb-10Mb	2.43E-03	1.37E-03	2.92E-03	1.66E-03	2.82E-03	3.15E-03	4.09E-03	2.43E-03	2.39E-03	9.67E-03
3-4:het:10Mb-40Mb	7.05E-03	5.31E-03	5.36E-03	4.62E-03	3.63E-03	4.43E-03	5.12E-03	6.66E-03	8.49E-03	5.23E-03
3-4:het:>40Mb	7.60E-03	6.49E-03	3.68E-03	8.03E-03	7.44E-03	7.51E-03	4.90E-03	6.71E-03	4.58E-03	5.68E-03
5-8:het:0-100kb	4.57E-08	3.88E-08	4.89E-08	5.52E-08	3.84E-08	3.68E-08	5.02E-08	5.52E-08	5.37E-08	6.40E-08
5-8:het:100kb-1Mb	4.59E-08	3.87E-08	4.89E-08	5.52E-08	3.82E-08	3.69E-08	5.04E-08	5.53E-08	5.37E-08	6.40E-08
5-8:het:1Mb-10Mb	4.56E-08	3.92E-08	4.87E-08	5.51E-08	3.87E-08	3.73E-08	5.02E-08	5.51E-08	5.41E-08	6.39E-08
5-8:het:10Mb-40Mb	4.59E-08	3.87E-08	4.88E-08	5.54E-08	3.87E-08	3.69E-08	5.02E-08	5.53E-08	5.38E-08	6.37E-08
5-8:het:>40Mb	4.54E-08	3.86E-08	4.88E-08	5.53E-08	3.85E-08	3.68E-08	5.07E-08	5.55E-08	5.36E-08	6.40E-08
9+:het:0-100kb	4.56E-08	3.87E-08	4.91E-08	5.55E-08	3.82E-08	3.68E-08	5.01E-08	5.58E-08	5.39E-08	6.39E-08
9+:het:100kb-1Mb	4.57E-08	3.87E-08	4.85E-08	5.47E-08	3.81E-08	3.68E-08	5.01E-08	5.49E-08	5.38E-08	6.36E-08
9+:het:1Mb-10Mb	4.56E-08	3.85E-08	4.90E-08	5.53E-08	3.86E-08	3.68E-08	5.02E-08	5.54E-08	5.38E-08	6.41E-08
9+:het:10Mb-40Mb	4.56E-08	3.87E-08	4.85E-08	5.47E-08	3.82E-08	3.67E-08	4.99E-08	5.49E-08	5.38E-08	6.39E-08
9+:het:>40Mb	4.67E-08	3.90E-08	4.86E-08	5.52E-08	3.89E-08	3.70E-08	5.05E-08	5.58E-08	5.40E-08	6.43E-08
