Sample Names	MutationType	CN2	CN13
Syntheticpatient3	0:homdel:0-100kb	0.2851675711882209	0.714832428811779
Syntheticpatient3	0:homdel:100kb-1Mb	0.0766391217093865	0.9233608782906135
Syntheticpatient3	0:homdel:>1Mb	0.07798808517059175	0.9220119148294083
Syntheticpatient3	1:LOH:0-100kb	0.28424077204703346	0.7157592279529665
Syntheticpatient3	1:LOH:100kb-1Mb	0.0805610020527153	0.9194389979472847
Syntheticpatient3	1:LOH:1Mb-10Mb	0.0031740514654795943	0.9968259485345204
Syntheticpatient3	1:LOH:10Mb-40Mb	0.001252310158387736	0.9987476898416123
Syntheticpatient3	1:LOH:>40Mb	0.00023051217851044665	0.9997694878214896
Syntheticpatient3	2:LOH:0-100kb	0.9459365369054872	0.05406346309451281
Syntheticpatient3	2:LOH:100kb-1Mb	0.2111001031279476	0.7888998968720524
Syntheticpatient3	2:LOH:1Mb-10Mb	0.25323669349737626	0.7467633065026237
Syntheticpatient3	2:LOH:10Mb-40Mb	0.6381616743648503	0.36183832563514967
Syntheticpatient3	2:LOH:>40Mb	0.9968559163368954	0.0031440836631045554
Syntheticpatient3	3-4:LOH:0-100kb	0.6553796612017165	0.3446203387982834
Syntheticpatient3	3-4:LOH:100kb-1Mb	0.40328909766860643	0.5967109023313935
Syntheticpatient3	3-4:LOH:1Mb-10Mb	0.22631239492707309	0.7736876050729269
Syntheticpatient3	3-4:LOH:10Mb-40Mb	0.3589044380265541	0.6410955619734459
Syntheticpatient3	3-4:LOH:>40Mb	0.6463908643312343	0.3536091356687657
Syntheticpatient3	5-8:LOH:0-100kb	0.18670751497827912	0.8132924850217209
Syntheticpatient3	5-8:LOH:100kb-1Mb	0.5250823531292345	0.4749176468707655
Syntheticpatient3	5-8:LOH:1Mb-10Mb	0.22753777958288354	0.7724622204171164
Syntheticpatient3	5-8:LOH:10Mb-40Mb	0.5860998625791148	0.41390013742088516
Syntheticpatient3	5-8:LOH:>40Mb	0.7125579566381378	0.28744204336186213
Syntheticpatient3	9+:LOH:0-100kb	0.8238170801620408	0.1761829198379592
Syntheticpatient3	9+:LOH:100kb-1Mb	0.07206200253095309	0.9279379974690469
Syntheticpatient3	9+:LOH:1Mb-10Mb	0.1684962841251942	0.8315037158748059
Syntheticpatient3	9+:LOH:10Mb-40Mb	0.9956728750269559	0.004327124973044139
Syntheticpatient3	9+:LOH:>40Mb	0.6756459827687372	0.3243540172312627
Syntheticpatient3	2:het:0-100kb	0.15075892144304862	0.8492410785569514
Syntheticpatient3	2:het:100kb-1Mb	0.07538928731277258	0.9246107126872274
Syntheticpatient3	2:het:1Mb-10Mb	0.0036487632652821202	0.9963512367347179
Syntheticpatient3	2:het:10Mb-40Mb	0.002352148183870144	0.9976478518161298
Syntheticpatient3	2:het:>40Mb	9.312258389647826e-06	0.9999906877416103
Syntheticpatient3	3-4:het:0-100kb	0.6504201504306442	0.3495798495693558
Syntheticpatient3	3-4:het:100kb-1Mb	0.23862114353110045	0.7613788564688995
Syntheticpatient3	3-4:het:1Mb-10Mb	0.5276457385341263	0.47235426146587367
Syntheticpatient3	3-4:het:10Mb-40Mb	0.8091454176712543	0.19085458232874575
Syntheticpatient3	3-4:het:>40Mb	0.9421548552895335	0.0578451447104666
Syntheticpatient3	5-8:het:0-100kb	0.4118431457008201	0.58815685429918
Syntheticpatient3	5-8:het:100kb-1Mb	0.8373988217935151	0.1626011782064849
Syntheticpatient3	5-8:het:1Mb-10Mb	0.9999250142136851	7.498578631491815e-05
Syntheticpatient3	5-8:het:10Mb-40Mb	0.9805883689835942	0.01941163101640577
Syntheticpatient3	5-8:het:>40Mb	0.9961551737594241	0.0038448262405760326
Syntheticpatient3	9+:het:0-100kb	0.3072312771009817	0.6927687228990184
Syntheticpatient3	9+:het:100kb-1Mb	0.7214974866764914	0.2785025133235086
Syntheticpatient3	9+:het:1Mb-10Mb	0.3579717618379949	0.642028238162005
Syntheticpatient3	9+:het:10Mb-40Mb	0.9467914632173975	0.053208536782602574
Syntheticpatient3	9+:het:>40Mb	0.8958071162566493	0.10419288374335063
