NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.717	13.939	1.779	14.789	0.026	0.988	4000.0
2	3.412	12.781	1.578	13.381	0.022	0.989	5000.0
3	4.282	16.012	1.92	16.522	0.041	0.982	4000.0
4	4.206	15.765	1.864	15.252	0.046	0.986	3000.0
5	3.7	13.728	1.585	13.406	0.032	0.988	12000.0
6	3.949	14.821	1.77	15.919	0.045	0.98	4000.0
7	4.673	17.473	2.079	17.209	0.038	0.984	4000.0
8	4.466	16.494	1.88	15.487	0.033	0.986	4000.0
9	3.867	14.37	1.653	13.746	0.026	0.987	7000.0
10	5.158	19.586	2.257	19.716	0.052	0.974	14000.0
11	5.04	18.799	2.103	18.475	0.044	0.975	4000.0
12	4.834	18.022	2.072	17.182	0.042	0.984	3000.0
13	4.318	16.177	1.991	15.872	0.035	0.984	3000.0
14	4.646	17.379	2.063	17.546	0.036	0.982	3000.0
15	5.069	18.833	2.352	20.127	0.043	0.971	7000.0
16	3.062	11.508	1.324	11.183	0.03	0.991	29000.0
17	3.898	14.566	1.712	14.333	0.038	0.988	10000.0
18	4.366	16.303	1.764	14.639	0.053	0.983	4000.0
19	4.213	15.816	1.725	14.342	0.042	0.988	5000.0
20	4.437	16.644	1.965	16.706	0.034	0.982	9000.0
21	4.757	17.637	2.132	17.718	0.04	0.975	5000.0
22	5.161	19.484	2.219	19.513	0.042	0.973	5000.0
23	2.723	10.094	1.133	9.208	0.024	0.995	5000.0
24	4.334	16.099	2.026	16.724	0.043	0.982	4000.0
25	4.104	15.185	1.841	15.087	0.037	0.983	4000.0
26	3.637	13.533	1.501	12.473	0.03	0.99	6000.0
27	4.18	15.625	1.818	15.458	0.044	0.987	3000.0
28	3.763	14.021	1.667	14.159	0.03	0.988	6000.0
29	4.19	15.892	1.933	15.77	0.041	0.981	7000.0
30	3.156	11.739	1.298	11.174	0.028	0.992	6000.0
31	4.154	15.57	1.755	15.192	0.034	0.984	8000.0
32	3.745	13.967	1.644	14.712	0.032	0.986	3000.0
33	4.212	15.688	1.859	15.155	0.043	0.984	3000.0
34	4.389	16.322	1.931	16.088	0.037	0.984	4000.0
35	3.882	14.353	1.663	14.079	0.035	0.986	4000.0
36	4.148	15.672	1.715	14.452	0.048	0.985	2000.0
37	3.319	12.284	1.454	11.621	0.023	0.992	6000.0
38	5.6	20.784	2.395	21.318	0.052	0.968	5000.0
39	4.096	15.19	1.769	14.954	0.031	0.984	4000.0
40	4.886	18.305	1.991	17.039	0.042	0.978	3000.0
41	4.372	16.41	1.954	16.442	0.033	0.98	4000.0
42	5.705	20.959	2.724	22.413	0.052	0.964	2000.0
43	5.74	21.323	2.513	19.961	0.059	0.969	3000.0
44	4.365	16.366	1.856	16.103	0.035	0.982	5000.0
45	3.474	12.961	1.483	12.99	0.026	0.989	5000.0
46	4.117	15.357	1.873	15.314	0.033	0.985	5000.0
47	4.828	17.979	2.041	17.82	0.04	0.981	3000.0
48	4.265	16.015	1.737	14.823	0.032	0.985	3000.0
