Sample Names	MutationType	CN2	CN13
Syntheticpatient9	0:homdel:0-100kb	0.22175928100677125	0.7782407189932288
Syntheticpatient9	0:homdel:100kb-1Mb	0.0559677495552665	0.9440322504447335
Syntheticpatient9	0:homdel:>1Mb	0.05697531679582094	0.9430246832041791
Syntheticpatient9	1:LOH:0-100kb	0.22097485531276123	0.7790251446872387
Syntheticpatient9	1:LOH:100kb-1Mb	0.05889928296796397	0.9411007170320361
Syntheticpatient9	1:LOH:1Mb-10Mb	0.002269237525826673	0.9977307624741734
Syntheticpatient9	1:LOH:10Mb-40Mb	0.0008948274278420659	0.9991051725721579
Syntheticpatient9	1:LOH:>40Mb	0.00016466240084710132	0.9998353375991529
Syntheticpatient9	2:LOH:0-100kb	0.9259133049883058	0.07408669501169428
Syntheticpatient9	2:LOH:100kb-1Mb	0.1604640683414513	0.8395359316585488
Syntheticpatient9	2:LOH:1Mb-10Mb	0.19499164983030434	0.8050083501696956
Syntheticpatient9	2:LOH:10Mb-40Mb	0.5574753023681188	0.4425246976318813
Syntheticpatient9	2:LOH:>40Mb	0.9956038116652229	0.004396188334777056
Syntheticpatient9	3-4:LOH:0-100kb	0.575981662880347	0.424018337119653
Syntheticpatient9	3-4:LOH:100kb-1Mb	0.3255785819116871	0.6744214180883129
Syntheticpatient9	3-4:LOH:1Mb-10Mb	0.17282681048764242	0.8271731895123576
Syntheticpatient9	3-4:LOH:10Mb-40Mb	0.28565227557186	0.71434772442814
Syntheticpatient9	3-4:LOH:>40Mb	0.5662923981526184	0.4337076018473816
Syntheticpatient9	5-8:LOH:0-100kb	0.1408776283880165	0.8591223716119835
Syntheticpatient9	5-8:LOH:100kb-1Mb	0.4412578896776808	0.5587421103223191
Syntheticpatient9	5-8:LOH:1Mb-10Mb	0.17382765961609864	0.8261723403839014
Syntheticpatient9	5-8:LOH:10Mb-40Mb	0.5028482745962223	0.49715172540377767
Syntheticpatient9	5-8:LOH:>40Mb	0.6390787194437414	0.36092128055625866
Syntheticpatient9	9+:LOH:0-100kb	0.7695821855592013	0.2304178144407985
Syntheticpatient9	9+:LOH:100kb-1Mb	0.0525549197390375	0.9474450802609624
Syntheticpatient9	9+:LOH:1Mb-10Mb	0.12644161502979856	0.8735583849702014
Syntheticpatient9	9+:LOH:10Mb-40Mb	0.9939524923662607	0.006047507633739143
Syntheticpatient9	9+:LOH:>40Mb	0.5980535537034753	0.40194644629652476
Syntheticpatient9	2:het:0-100kb	0.11253215124484588	0.8874678487551542
Syntheticpatient9	2:het:100kb-1Mb	0.05503493217015609	0.944965067829844
Syntheticpatient9	2:het:1Mb-10Mb	0.002608979346058022	0.997391020653942
Syntheticpatient9	2:het:10Mb-40Mb	0.0016812357071973431	0.9983187642928026
Syntheticpatient9	2:het:>40Mb	6.651630833092742e-06	0.9999933483691669
Syntheticpatient9	3-4:het:0-100kb	0.5706281142893217	0.4293718857106783
Syntheticpatient9	3-4:het:100kb-1Mb	0.18291430866564215	0.8170856913343579
Syntheticpatient9	3-4:het:1Mb-10Mb	0.44379445728813266	0.5562055427118673
Syntheticpatient9	3-4:het:10Mb-40Mb	0.7517550585834666	0.2482449414165335
Syntheticpatient9	3-4:het:>40Mb	0.9208482159659631	0.07915178403403705
Syntheticpatient9	5-8:het:0-100kb	0.33340530058202217	0.6665946994179779
Syntheticpatient9	5-8:het:100kb-1Mb	0.7862600946845361	0.21373990531546402
Syntheticpatient9	5-8:het:1Mb-10Mb	0.9998950230478708	0.00010497695212916528
Syntheticpatient9	5-8:het:10Mb-40Mb	0.9730331051420879	0.026966894857912083
Syntheticpatient9	5-8:het:>40Mb	0.994625508857024	0.005374491142975942
Syntheticpatient9	9+:het:0-100kb	0.24056806471564368	0.7594319352843563
Syntheticpatient9	9+:het:100kb-1Mb	0.6491783642598469	0.3508216357401532
Syntheticpatient9	9+:het:1Mb-10Mb	0.28482538563004606	0.7151746143699539
Syntheticpatient9	9+:het:10Mb-40Mb	0.9270604511710647	0.07293954882893526
Syntheticpatient9	9+:het:>40Mb	0.8599661740195175	0.14003382598048247
