NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6.438	36.068	2.973	28.363	0.184	0.962	2000.0
2	6.268	35.331	3.115	28.082	0.18	0.96	2000.0
3	7.119	40.152	2.99	28.286	0.215	0.958	2000.0
4	7.761	43.363	3.588	32.559	0.223	0.931	2000.0
5	6.775	38.16	3.105	28.947	0.199	0.957	3000.0
6	7.644	42.698	3.592	31.688	0.226	0.944	2000.0
7	6.615	38.126	3.036	29.303	0.189	0.954	3000.0
8	7.056	40.174	3.21	30.584	0.235	0.944	2000.0
9	8.65	48.098	4.019	36.083	0.244	0.924	2000.0
10	7.993	44.94	3.558	32.808	0.239	0.94	3000.0
11	5.901	32.798	2.474	20.749	0.2	0.978	2000.0
12	7.197	40.999	3.097	29.474	0.233	0.951	2000.0
13	5.772	32.335	2.548	22.628	0.177	0.973	2000.0
14	8.976	50.267	4.13	38.273	0.277	0.928	5000.0
15	6.671	37.738	2.98	27.717	0.215	0.959	8000.0
16	7.641	43.474	3.468	33.112	0.228	0.938	3000.0
17	7.457	41.919	3.518	30.848	0.208	0.946	2000.0
18	5.075	28.033	2.246	21.09	0.139	0.974	2000.0
19	8.569	48.121	3.776	36.189	0.298	0.921	2000.0
20	6.049	34.006	2.74	26.495	0.171	0.956	2000.0
21	7.197	40.265	3.3	29.184	0.236	0.962	3000.0
22	9.06	51.096	4.001	37.42	0.314	0.91	2000.0
23	7.968	45.153	3.615	34.359	0.249	0.928	2000.0
24	7.904	44.22	3.485	32.997	0.236	0.942	2000.0
25	6.389	35.561	3.047	27.439	0.164	0.968	2000.0
26	5.756	32.051	2.577	21.816	0.2	0.97	3000.0
27	6.333	36.652	3.07	29.888	0.17	0.954	3000.0
28	7.227	41.146	3.45	29.779	0.217	0.954	3000.0
29	5.725	32.717	2.423	23.172	0.205	0.97	3000.0
30	6.39	35.748	2.971	27.963	0.201	0.951	3000.0
31	7.549	42.786	3.678	34.916	0.21	0.926	3000.0
32	7.483	42.626	3.524	31.775	0.244	0.953	3000.0
33	6.381	35.771	2.707	25.0	0.195	0.97	3000.0
34	7.134	40.304	3.21	30.373	0.225	0.959	2000.0
35	6.908	38.766	3.391	30.703	0.181	0.946	3000.0
36	6.557	36.721	2.995	26.799	0.199	0.961	2000.0
37	7.053	39.253	3.214	31.648	0.194	0.94	3000.0
38	6.448	35.781	2.767	25.165	0.191	0.966	2000.0
39	6.792	38.417	3.199	28.918	0.195	0.962	2000.0
40	6.667	37.142	3.039	28.63	0.193	0.955	2000.0
41	6.498	36.436	2.953	25.794	0.192	0.969	2000.0
42	7.105	40.158	3.636	32.044	0.202	0.944	3000.0
43	7.203	40.565	3.267	30.795	0.212	0.95	2000.0
44	5.981	33.536	2.833	25.266	0.185	0.97	3000.0
45	6.389	35.88	2.904	26.436	0.217	0.961	2000.0
46	7.108	39.642	3.289	29.164	0.207	0.951	2000.0
47	6.59	37.179	3.057	27.984	0.188	0.95	2000.0
48	7.074	39.925	3.525	31.988	0.18	0.943	2000.0
49	6.908	39.585	3.246	29.644	0.221	0.951	3000.0
50	7.482	42.206	3.231	29.497	0.256	0.96	2000.0
51	7.685	42.987	3.467	30.492	0.258	0.945	2000.0
52	7.559	42.911	3.584	33.499	0.214	0.939	3000.0
53	8.287	46.533	3.98	35.0	0.242	0.936	2000.0
54	6.897	39.362	3.089	28.919	0.201	0.956	2000.0
55	6.14	34.043	3.092	28.455	0.167	0.959	2000.0
56	7.818	43.927	3.249	31.431	0.244	0.948	2000.0
57	7.634	42.783	3.489	31.203	0.218	0.95	2000.0
58	6.311	35.296	2.605	25.26	0.229	0.96	2000.0
59	6.746	38.524	3.578	31.418	0.177	0.949	2000.0
60	7.775	43.946	3.707	34.863	0.23	0.92	2000.0
61	8.864	49.946	3.807	38.013	0.282	0.926	3000.0
62	7.019	38.812	3.23	28.857	0.188	0.957	2000.0
63	7.714	42.941	3.484	32.131	0.226	0.952	2000.0
64	6.732	38.184	3.009	28.471	0.229	0.955	2000.0
65	7.168	40.879	3.098	30.234	0.224	0.946	2000.0
