NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
262	12.637	47.19	5.21	41.242	0.19	0.899	2000.0
263	11.388	42.583	4.596	40.251	0.189	0.9	2000.0
264	14.054	52.723	5.726	48.702	0.257	0.848	4000.0
265	11.375	42.375	4.629	39.616	0.194	0.909	2000.0
266	9.354	34.758	3.964	32.84	0.139	0.936	2000.0
267	12.042	45.031	4.832	41.342	0.184	0.891	2000.0
268	11.556	43.236	4.998	42.844	0.192	0.894	3000.0
269	14.284	53.359	5.832	48.76	0.268	0.845	3000.0
270	10.432	38.921	4.008	35.054	0.164	0.924	3000.0
271	11.911	44.768	5.038	41.41	0.214	0.887	3000.0
272	13.082	48.965	5.6	45.115	0.237	0.863	3000.0
273	8.996	33.7	3.44	29.943	0.129	0.944	2000.0
274	11.472	42.93	4.853	41.264	0.175	0.895	2000.0
275	10.695	40.077	4.228	35.971	0.172	0.918	2000.0
276	10.865	40.407	4.516	39.485	0.167	0.902	3000.0
277	10.28	38.69	4.412	39.336	0.17	0.899	3000.0
278	11.963	44.333	5.142	40.592	0.193	0.902	4000.0
279	10.896	40.984	4.377	36.542	0.188	0.917	3000.0
280	11.344	42.573	4.632	38.754	0.185	0.902	2000.0
281	11.0	40.958	4.575	37.445	0.175	0.91	2000.0
282	11.12	41.456	4.749	38.89	0.177	0.909	5000.0
283	9.893	36.837	3.915	33.571	0.131	0.932	3000.0
284	8.012	30.04	3.251	28.785	0.117	0.947	2000.0
285	10.859	40.592	4.679	38.815	0.16	0.908	2000.0
286	10.162	38.2	3.982	34.499	0.181	0.914	7000.0
287	9.597	35.945	3.71	32.589	0.139	0.939	2000.0
288	10.537	39.2	4.236	35.208	0.18	0.924	2000.0
289	12.125	45.058	5.586	43.048	0.205	0.882	3000.0
290	11.28	41.832	4.715	39.029	0.17	0.904	4000.0
291	11.722	43.88	4.695	40.171	0.196	0.899	3000.0
292	10.631	39.833	4.185	37.241	0.17	0.916	3000.0
293	11.926	44.446	5.053	41.62	0.211	0.89	2000.0
294	11.404	42.653	4.687	37.837	0.169	0.917	3000.0
