NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2.643	9.734	1.222	10.152	0.019	0.992	5000.0
2	2.292	8.459	1.057	8.617	0.011	0.996	6000.0
3	3.457	12.893	1.616	13.75	0.033	0.989	9000.0
4	3.452	12.813	1.55	12.501	0.025	0.989	6000.0
5	2.486	9.304	1.065	9.338	0.018	0.992	3000.0
6	3.832	14.415	1.765	15.246	0.029	0.983	5000.0
7	3.832	14.276	1.784	14.584	0.024	0.989	2000.0
8	2.274	8.264	0.946	7.914	0.014	0.994	4000.0
9	3.638	13.522	1.549	12.965	0.022	0.988	4000.0
10	3.843	14.325	1.654	14.253	0.037	0.988	4000.0
11	3.832	14.369	1.683	14.919	0.026	0.983	10000.0
12	2.708	10.132	1.285	11.097	0.025	0.992	8000.0
13	3.9	14.66	1.7	13.924	0.028	0.987	3000.0
14	3.001	11.306	1.355	12.025	0.027	0.989	6000.0
15	2.324	8.76	1.077	9.378	0.017	0.994	8000.0
16	2.587	9.766	1.123	9.51	0.019	0.993	37000.0
17	3.307	12.238	1.502	12.254	0.026	0.992	3000.0
18	2.467	9.244	1.039	9.054	0.022	0.993	6000.0
19	2.65	10.005	1.128	9.552	0.019	0.993	6000.0
20	2.534	9.293	1.152	8.839	0.013	0.994	4000.0
21	2.982	11.162	1.275	11.007	0.02	0.992	7000.0
22	3.543	13.347	1.641	14.831	0.033	0.985	8000.0
23	1.998	7.302	0.881	6.636	0.014	0.997	4000.0
24	2.702	10.136	1.363	11.686	0.023	0.99	12000.0
25	2.38	8.98	1.136	9.624	0.019	0.99	5000.0
26	2.315	8.687	1.023	8.478	0.017	0.995	3000.0
27	3.856	14.394	1.599	13.389	0.033	0.99	4000.0
28	3.314	12.349	1.408	11.901	0.024	0.991	3000.0
29	3.372	12.763	1.613	13.052	0.021	0.986	8000.0
30	2.211	8.245	0.985	8.609	0.014	0.995	4000.0
31	3.375	12.796	1.479	12.785	0.026	0.986	26000.0
32	2.225	8.436	0.997	9.027	0.015	0.993	5000.0
33	2.204	8.189	1.021	7.902	0.02	0.996	5000.0
34	2.89	10.812	1.317	11.424	0.022	0.99	4000.0
35	3.549	13.287	1.554	14.181	0.025	0.986	5000.0
36	3.329	12.542	1.4	11.57	0.034	0.991	3000.0
37	2.331	8.657	1.012	8.321	0.018	0.995	26000.0
38	3.376	12.488	1.522	13.521	0.022	0.988	8000.0
39	3.33	12.257	1.386	11.058	0.02	0.993	7000.0
40	2.744	10.207	1.145	9.341	0.018	0.991	10000.0
41	3.626	13.537	1.758	14.755	0.024	0.985	4000.0
42	3.956	14.638	1.768	15.227	0.031	0.985	5000.0
43	4.099	15.147	2.048	15.686	0.028	0.983	21000.0
44	2.721	10.117	1.193	10.224	0.014	0.994	3000.0
45	2.471	9.353	1.136	10.087	0.01	0.993	8000.0
46	2.892	10.841	1.381	12.171	0.029	0.987	11000.0
47	4.04	14.996	1.855	16.296	0.029	0.983	11000.0
48	3.057	11.333	1.342	11.324	0.017	0.992	6000.0
49	1.832	6.785	0.811	7.127	0.008	0.997	27000.0
50	2.449	9.193	1.085	9.569	0.015	0.993	5000.0
51	3.696	13.737	1.705	13.412	0.043	0.986	4000.0
52	2.73	10.192	1.223	10.503	0.013	0.993	11000.0
53	3.036	11.35	1.33	10.783	0.022	0.994	3000.0
54	3.925	14.6	1.839	15.02	0.025	0.985	6000.0
55	2.74	10.27	1.231	9.93	0.019	0.992	7000.0
56	3.029	11.282	1.383	11.528	0.021	0.992	4000.0
57	3.123	11.697	1.476	13.033	0.019	0.986	4000.0
58	2.963	11.152	1.292	11.477	0.019	0.991	12000.0
59	3.107	11.55	1.295	10.523	0.03	0.992	15000.0
60	4.334	16.029	1.812	15.038	0.032	0.985	8000.0
61	2.184	8.161	0.93	7.737	0.013	0.996	6000.0
62	2.775	10.308	1.279	10.2	0.019	0.992	22000.0
